Activity,T1O2,T1Pu,T2O2,T2Pu,T3O2,T3Pu,T4O2,T4Pu
Prep,93,73,94,73,94,76,95,77
0,98,107,97,115,98,120,98,110
10,98,105,98,113,98,122,98,97
20,98,72,98,79,98,99,97,87
30,98,73,98,75,98,83,97,72
40,98,70,98,69,99,83,96,72
50,98,70,97,64,99,77,95,80
60,98,69,97,63,98,78,95,95
70,97,74,97,68,98,78,93,93
80,96,75,95,67,98,82,91,94
90,95,79,93,64,98,81,90,106
100,93,87,92,76,96,84,87,96
110,91,80,91,79,94,96,87,88
120,88,85,90,82,90,90,83,77
130,87,86,88,84,88,88,78,82
140,84,70,87,80,85,88,74,78
150,82,71,86,74,81,71,69,71
Final,78,72,81,85,74,75,62,89
